,city,aypi,population
169,PITTSBURG,0.021777841,67509
170,GRESHAM,0.039410938,110276
171,APPLE VALLEY,0.034273922,71329
172,YUCAIPA,0.020345034,52794
173,GRAND ISLAND,0.01302159,50999
174,PETALUMA,0.01744546,59803
175,HOBOKEN,0.008499762,53303
176,KENNEWICK,0.025289569,77381
177,SOUTHAMPTON TOWN,0.015830707,50819
178,CARLSBAD,0.036648576,112297
179,DELRAY BEACH,0.021517238,64917
180,SAMMAMISH,0.030211424,51016
181,BOYNTON BEACH,0.023602631,71801
182,EDMOND,0.028469,88383
183,FONTANA,0.0554143,204532
184,GREENVILLE,0.032613852,90198
185,FLAGSTAFF,0.020905452,69490
186,MOORE,0.016026549,59188
187,BATTLE CREEK,0.026977683,61225
188,PLEASANTON,0.023257545,75060
189,PLACENTIA,0.01217131,52513
190,ROCK HILL,0.021001632,69754
191,LODI,0.017588842,63601
192,GLENDORA,0.011163488,51292
193,NORMAL,0.026673098,55185
194,PEMBROKE PINES,0.052214671,164372
195,BURNSVILLE,0.017040154,61693
196,MILPITAS,0.020426025,70568
197,PLYMOUTH,0.022715399,58292
198,COON RAPIDS,0.018517588,62242
199,MARGATE,0.014756978,55982
200,OCALA,0.016568039,57740
201,BOLINGBROOK,0.040005939,72433
202,PARAMOUNT,0.012824062,55194
203,FAYETTEVILLE,0.024159378,80263
204,STATE COLLEGE,0.016925516,56551
205,HESPERIA,0.040855822,92592
206,VALDOSTA,0.014060767,56862
207,MERCED,0.024331334,81603
208,FORT MYERS,0.021143745,69718
209,DAVIS,0.017973252,66360
210,BROKEN ARROW,0.026452829,85283
211,WEST NEW YORK,0.009539905,52791
212,PERTH AMBOY,0.009549395,52332
213,LAUDERHILL,0.026311626,70506
214,OLATHE,0.053719496,133341
215,CORAL SPRINGS,0.040778892,127939
216,BURLINGTON,0.009696166,50936
217,COLLEGE STATION,0.030721634,101483
218,CAMARILLO,0.017665485,66272
219,RIALTO,0.030866369,102540
220,CORONA,0.045115757,161128
221,HOFFMAN ESTATES,0.017352061,52512
222,SHELBY TOWNSHIP,0.021209007,76556
223,MINNETONKA,0.009036396,51769
224,SPRINGFIELD,0.011609124,60377
225,BOWLING GREEN,0.014763185,62117
226,UNION CITY,0.019058566,73268
227,NEW BRUNSWICK,0.009649568,56193
228,SANTA MARIA,0.030044995,102885
229,MEDFORD,0.020493612,78356
230,WARNER ROBINS,0.019037547,73063
231,IDAHO FALLS,0.011843822,58606
232,GULFPORT,0.021412269,71813
233,THORNTON,0.037816347,129442
234,VACAVILLE,0.026338805,94701
235,CHINO,0.021542344,81600
236,CORVALLIS,0.009376473,55541
237,CORAL GABLES,0.006099106,50316
238,SPARKS,0.025311314,94012
239,ALISO VIEJO,0.017229094,50671
240,ELKHART,0.007832787,51366
241,WEST BLOOMFIELD TOWNSHIP,0.014776903,66222
242,NAPERVILLE,0.027847382,97527
243,SANTA CRUZ,0.012823266,63440
244,NOVATO,0.008207278,54756
245,REVERE,0.011098,54402
246,DECATUR,0.009103434,55744
247,YUMA,0.031745014,92075
248,REDDING,0.023606466,91426
249,PISCATAWAY TOWNSHIP,0.010170071,59089
250,NORTH MIAMI,0.01291236,61501
251,ANTIOCH,0.028434565,108223
252,CASPER,0.005888727,60771
253,VANCOUVER,0.049467097,168688
254,TEMPLE,0.016018309,71049
255,ROSEMEAD,0.007547876,54748
256,NORTH LAS VEGAS,0.074565742,229436
257,WHEATON,0.012294591,53806
258,LAFAYETTE,0.015760309,70749
259,LONGMONT,0.024831002,90762
260,HARLINGEN,0.01304205,65808
261,BROOKLYN PARK,0.018651979,78986
262,REDLANDS,0.014497292,70295
263,HEMPSTEAD VILLAGE,0.011396795,55722
264,GRAND FORKS,0.007431786,55438
265,LYNWOOD,0.015059029,71812
266,AMES,0.01077117,62514
267,SAN RAFAEL,0.009116354,59292
268,POCATELLO,0.004954159,54346
269,SUNRISE,0.026047776,91544
270,WILMINGTON,0.029069026,113418
271,KOKOMO,0.006374164,56904
272,BRYAN,0.018131431,79267
273,BLOOMINGTON,0.030118205,79451
274,BISMARCK,0.012873516,68492
275,YORK AREA REGIONAL,0.023592131,61107
276,BERWYN,0.012732354,56778
277,LA HABRA,0.009808454,61964
278,LAS CRUCES,0.026263141,102113
279,GARDENA,0.008759526,60233
280,PLAINFIELD,0.003507125,50839
281,TAUNTON,0.006925627,56277
282,GLOUCESTER TOWNSHIP,0.01064379,64322
283,WHITE PLAINS,0.006747555,58103
284,ENID,0.000691318,51037
285,SAN MARCOS,0.041743717,90799
286,BELLINGHAM,0.017942088,83048
287,ARCADIA,0.006946444,57950
288,MELBOURNE,0.016785711,77797
289,NORTH BERGEN TOWNSHIP,0.008908781,62817
290,PEABODY,0.004197565,52366
291,HUNTINGTON PARK,0.007535327,59064
292,RAPID CITY,0.01339657,71481
293,KILLEEN,0.03399408,139211
294,GASTONIA,0.01431694,73576
295,WAYNE TOWNSHIP,0.005156338,55197
296,ST. CLOUD,0.008993494,52856
297,UPLAND,0.014803862,75790
298,HAVERHILL,0.009211497,62552
299,CHEYENNE,0.0088244,63155
300,FLORISSANT,-0.00097886,52387
301,SUFFOLK,0.017875192,85987
302,EAST HARTFORD,-0.000392352,51185
303,LA CROSSE,0.002198768,51564
304,CANTON TOWNSHIP,0.021229589,89073
305,DENTON,0.029890309,125248
306,LANCASTER,0.037426827,160190
307,MILFORD,0.001548171,53222
308,LIVERMORE,0.017462945,86147
309,PLANTATION,0.020364394,91549
310,NATIONAL CITY,0.007155385,60130
311,DOTHAN,0.009634808,67254
312,LAKELAND,0.024342682,101428
313,STRATFORD,0.001073896,52279
314,SARASOTA,0.003327347,53620
315,SOUTH SAN FRANCISCO,0.009313383,66793
316,SANTA FE,0.020444638,70438
317,SHORELINE,0.006622045,55206
318,BROOKHAVEN,0.035975027,50942
319,JACKSON,0.010077567,67869
320,MIDWEST CITY,0.004487168,57313
321,YAKIMA,0.019964599,93667
322,VISALIA,0.028681343,128488
323,OSHKOSH,0.009272088,66962
324,ST. GEORGE,0.033056313,77838
325,MANCHESTER,0.004666275,58204
326,WAUKESHA,0.010956797,71093
327,IRONDEQUOIT TOWN,-0.002557786,51390
328,EAU CLAIRE,0.008820008,65937
329,NAPA,0.013962643,79572
330,LA MESA,0.005098232,59005
331,IOWA CITY,0.012285477,72522
332,PARSIPPANY-TROY HILLS TW,0.004032129,54025
333,OAK PARK,-0.002467209,52109
334,CHARLESTON,-0.005907123,50693
335,UNION TOWNSHIP,0.004337266,57830
336,SAGINAW,-0.01248589,50030
337,LAKEWOOD,-0.006156479,50923
338,BOCA RATON,0.018865859,90496
339,BETHLEHEM,0.00279313,55442
340,BALDWIN PARK,0.012618649,76933
341,SANDY,0.018138505,90860
342,VICTORIA,0.007839886,65726
343,BOSSIER CITY,0.008619119,67469
344,JANESVILLE,0.006920692,63885
345,HAMDEN,0.005676503,61599
346,DEARBORN HEIGHTS,-0.005167891,56366
347,MOUNT PROSPECT,0.003429623,54891
348,ST. PETERS,0.005985115,55362
349,POMPANO BEACH,0.022585015,105523
350,WEST HAVEN,0.00105612,54917
351,BLOOMINGTON,0.014809089,83075
352,BROOKLINE,0.002764521,59413
353,PENSACOLA,-0.002081059,52873
354,FAIRFIELD,0.003401488,61146
355,SCHAUMBURG,0.017074742,75060
356,MALDEN,0.004536066,60925
357,BENSALEM TOWNSHIP,0.004717247,60506
358,PASSAIC,0.009504021,71228
359,ELGIN,0.023127953,85896
360,SANTEE,0.00128238,56737
361,OREM,0.017649474,92409
362,BOWIE,0.009233282,57188
363,RAMAPO TOWN,0.017999129,88881
364,WEST CHESTER TOWNSHIP,0.00897544,59629
365,WALNUT CREEK,0.00744309,67555
366,MONTEBELLO,0.005683955,63737
367,OAK LAWN,-0.002278578,57159
368,VINELAND,0.004334302,61115
369,KETTERING,-0.002980456,55311
370,BELLFLOWER,0.011658619,77830
371,WEYMOUTH,0.000443688,55996
372,DES PLAINES,0.00444516,59041
373,PICO RIVERA,0.005517525,63970
374,APPLETON,0.004138306,60979
375,OWENSBORO,0.002885549,58659
376,DAYTONA BEACH,0.004976936,62629
377,BRISTOL TOWNSHIP,-0.002524774,54349
378,FOUNTAIN VALLEY,0.001345249,57024
379,ASHEVILLE,0.015066685,88184
380,BRICK TOWNSHIP,0.010466528,75995
381,UNION CITY,0.006988911,68787
382,TERRE HAUTE,0.000551722,61085
383,CHICOPEE,0.000597136,55831
384,PORT ARTHUR,-0.003651031,54170
385,MEDFORD,-0.000358037,57551
386,IRVINGTON,-0.003449192,54377
387,GREELEY,0.018128162,97406
388,ROCHESTER,0.021899105,111712
389,MONTEREY PARK,0.003825446,61284
390,EASTVALE,0.007427063,55504
391,COUNCIL BLUFFS,0.003582021,61864
392,EVERETT,0.021290862,105911
393,LANCASTER,0.002999406,59325
394,CLARKSVILLE,0.029619191,144639
395,PALO ALTO,0.006196532,67169
396,WALTHAM,0.002476585,62756
397,GREAT FALLS,0.002270805,59501
398,NORTH CHARLESTON,0.01470983,84781
399,ANDERSON,-0.005846517,55545
400,COLERAIN TOWNSHIP,0.006134737,58813
401,GREENVILLE,0.002028131,61924
402,WEST HARTFORD,0.001372037,63360
403,TONAWANDA TOWN,-0.007136865,58077
404,HAWTHORNE,0.013104912,86670
405,MERIDEN,0.001989088,60352
406,REDWOOD CITY,0.011203921,81870
407,LOWER MERION TOWNSHIP,-0.000574363,58268
408,DUBUQUE,-0.001936503,58421
409,BAYTOWN,0.007570779,72088
410,ROYAL OAK,-0.005056571,59377
411,LAKEWOOD,-0.004138896,59313
412,FARMINGTON HILLS,0.010397685,81682
413,REDONDO BEACH,0.005477367,68075
414,LAKE FOREST,0.020570104,79748
415,BAYONNE,0.000530362,65618
416,CHAMPAIGN,0.019821782,83995
417,BRISTOL,0.001729849,60590
418,GREENWICH,0.002016688,62676
419,FAIRFIELD,0.019383796,110300
420,ENCINITAS,0.004435826,62071
421,UTICA,-0.005625693,61702
422,NEWPORT BEACH,0.0124468,87759
423,WEST ALLIS,-0.001499284,60764
424,WEST PALM BEACH,0.018549786,103028
425,MOUNTAIN VIEW,0.00905434,78759
426,WYOMING,0.007599685,74603
427,NORTH LITTLE ROCK,0.001353376,67031
428,SKOKIE,0.004140608,65263
429,SPRINGFIELD,-0.006106148,58891
430,DANBURY,0.010651718,84281
431,JOHNS CREEK,0.064438698,84256
432,FAYETTEVILLE,0.04142038,205306
433,ST. CLAIR SHORES,-0.003379494,60157
434,"FRANKLIN TWNSHP, SOMER C",0.013774469,65999
435,TAYLOR,-0.006503852,61527
436,ST. CHARLES,0.008582116,67970
437,LAKEWOOD TOWNSHIP,0.034151339,93749
438,OLD BRIDGE TOWNSHIP,0.007373981,66966
439,LONGVIEW,0.008443335,79728
440,LARGO,0.008700367,78502
441,SCHENECTADY,-0.000839195,65834
442,CICERO,0.020209547,84147
443,FARGO,0.019214747,115686
444,PORTLAND,0.002338521,66380
445,MIDDLETOWN TOWNSHIP,0.00224971,66223
446,LAWRENCE,0.008515468,78169
447,LAGUNA NIGUEL,0.003617581,65033
448,HIGH POINT,0.015047731,103122
449,COLUMBIA,0.018711386,116847
450,WATERFORD TOWNSHIP,0.0059315,73308
451,RANCHO CORDOVA,0.016321586,68636
452,FRAMINGHAM,0.002833303,71113
453,SAN LEANDRO,0.010164225,88690
454,RANCHO CUCAMONGA,0.036252377,172694
455,LORAIN,-0.004491248,63619
456,ESCONDIDO,0.025988459,149839
457,ALAMEDA,0.005964251,77048
458,WATERLOO,-0.002957829,68358
459,OGDEN,0.008611083,84557
460,BUENA PARK,0.007869617,83414
461,EAST ORANGE,-0.005060136,64758
462,KENNER,-0.00081259,67037
463,ALHAMBRA,0.008300775,84931
464,MUNCIE,-0.001727489,70347
465,YOUNGSTOWN,-0.016470606,64658
466,MCALLEN,0.022703965,138122
467,FORT COLLINS,0.026768895,154015
468,LYNCHBURG,0.005020585,78639
469,RICHARDSON,0.004495118,75460
470,GRAND PRAIRIE,0.020717958,129472
471,MOUNT VERNON,0.001195025,68442
472,TROY,0.006551217,83279
473,LEE'S SUMMIT,0.021920655,91625
474,NEW ROCHELLE,0.004088421,80030
475,ARLINGTON HEIGHTS,0.005973335,76200
476,SOUTH GATE,0.010955289,95981
477,LAKE CHARLES,-0.000276186,74470
478,MISSION VIEJO,0.015516329,97124
479,MESQUITE,0.023189368,144264
480,WAUKEGAN,0.016150666,88747
481,WESTMINSTER,0.009400183,92217
482,NORMAN,0.017058191,119956
483,NASHUA,0.010360061,87279
484,MENIFEE,0.046003091,84843
485,PAWTUCKET,0.00029223,71443
486,WHITTIER,0.008082144,86952
487,BILLINGS,0.017653989,110245
488,IRVINE,0.038316205,242971
489,CHARLESTON,0.018532199,120885
490,FEDERAL WAY,0.014485069,93551
491,CHERRY HILL TOWNSHIP,0.000212405,72058
492,SOMERVILLE,0.001257015,79798
493,NEW BRITAIN,-0.000552285,72864
494,TYLER,0.011666881,100969
495,EVANSTON,0.001610684,75817
496,MIDLAND,0.018921936,127344
497,WILMINGTON,0.000809927,71713
498,COLONIE TOWN,0.003399547,78717
499,CLINTON TOWNSHIP,0.01236601,98897
500,KALAMAZOO,-0.001368788,75857
501,FORT SMITH,0.006192337,87989
502,SOUTHFIELD,-0.000595798,73321
503,CLIFTON,0.004579985,85822
504,SCRANTON,-0.00534005,75749
505,CRANSTON,0.003547201,80905
506,PLANO,0.041113295,272106
507,GAINESVILLE,0.019323526,128185
508,CANTON,-0.008205068,72391
509,ST. JOSEPH,0.003223186,77269
510,SAN ANGELO,0.009002168,98477
511,TUSCALOOSA,0.008594571,96412
512,LAKEWOOD,0.002851125,81382
513,BELLEVUE,0.018460383,135449
514,EL CAJON,0.00990317,102838
515,PROVO,0.014889865,117158
516,RICHMOND,0.011361304,108464
517,ALBANY,0.001308754,75858
518,DECATUR,-0.011124376,74373
519,OCEANSIDE,0.025656232,174102
520,READING,0.003680131,87848
521,JOLIET,0.0223451,137783
522,SANTA BARBARA,0.005982027,90889
523,VENTURA,0.011318888,109246
524,KENOSHA,0.007963664,100025
525,HAMMOND,-0.00488976,78526
526,BOULDER,0.009659131,104284
527,NORWALK,0.004338717,88232
528,ARVADA,0.011697454,109878
529,CLARKSTOWN TOWN,0.000987642,81435
530,WEST VALLEY,0.019258859,134590
531,DALY CITY,0.009546279,105628
532,AURORA,0.017976871,136425
533,PARMA,-0.005006893,80168
534,VALLEJO,0.014008412,119504
535,SIMI VALLEY,0.014674697,126604
536,WEST COVINA,0.010083808,108136
537,UPPER DARBY TOWNSHIP,-0.000329159,82843
538,CHEEKTOWAGA TOWN,-0.005514814,78209
539,THOUSAND OAKS,0.016257425,129175
540,GARY,-0.018735993,78013
541,RACINE,-0.002467021,78057
542,WESTLAND,-0.000631926,82246
543,LYNN,0.00544514,92131
544,SAN MATEO,0.008099685,102082
545,SALEM,0.016668912,137031
546,SIOUX CITY,0.000240688,82366
547,COMPTON,0.006582568,98224
548,EL MONTE,0.011671301,116220
549,LAFAYETTE,0.013946557,125122
550,LAWTON,0.006463338,96966
551,BLOOMINGTON,0.00202003,87163
552,SALINAS,0.020691397,156908
553,SIOUX FALLS,0.017356241,143207
554,NEWTON,0.001993256,88881
555,TALLAHASSEE,0.027344721,187573
556,VISTA,0.010651342,97651
557,COSTA MESA,0.009827798,112709
558,OVERLAND PARK,0.03463231,183108
559,WARWICK,-0.001681108,82123
560,SANTA ROSA,0.022600063,172991
561,SPOKANE VALLEY,0.009954388,91382
562,DULUTH,-0.001967729,86106
563,TRENTON,-0.002046693,84324
564,DOWNEY,0.009892481,113595
565,SANDY SPRINGS,0.025002816,101184
566,QUINCY,0.003388385,94035
567,CITRUS HEIGHTS,0.002772044,85758
568,MIAMI BEACH,0.000832091,91771
569,BURBANK,0.006759155,105041
570,BROWNSVILLE,0.023789148,183433
571,CHULA VISTA,0.034800577,259894
572,CARSON,0.002868103,92838
573,SANTA MONICA,0.0019661,93151
574,NORWALK,0.006766592,106838
575,DEARBORN,0.002017269,95396
576,GREECE TOWN,0.00528501,97144
577,CLEARWATER,0.007575452,110075
578,SANTA CLARA,0.009830455,121114
579,SCOTTSDALE,0.030124636,229325
580,ONTARIO,0.01969277,168278
581,BROCKTON,-5.45E-05,94427
582,GREEN BAY,0.00536085,104979
583,PORT ST. LUCIE,0.049584359,172453
584,FALL RIVER,-0.001009432,88915
585,ODESSA,0.00708934,111651
586,LIVONIA,-0.002756094,94833
587,WOODBRIDGE TOWNSHIP,0.003359526,100969
588,CAMBRIDGE,0.004016314,108201
589,MANCHESTER,0.0059311,110571
590,ROANOKE,-6.30E-05,98941
591,TOMS RIVER TOWNSHIP,-0.003931591,91634
592,LAREDO,0.030479151,250994
593,ATHENS-CLARKE COUNTY,0.01957821,121511
594,ORANGE,0.012816684,140767
595,NEW BEDFORD,-0.000805243,95366
596,EDISON TOWNSHIP,0.005223554,101965
597,AMARILLO,0.004230843,106538
598,LOWELL,0.007350927,109729
599,POMONA,0.015014197,151899
600,GLENDALE,0.02852642,236780
601,ALBANY,-0.000644852,98595
602,WICHITA FALLS,0.00364863,104949
603,INGLEWOOD,0.005218497,111997
604,HAYWARD,0.014560818,153319
605,COLUMBIA,0.009698778,133543
606,DAVENPORT,-4.22E-05,102715
607,PORTSMOUTH,-0.002043289,96435
608,JURUPA VALLEY,0.006863693,98684
609,ABILENE,0.005026901,115056
610,CENTENNIAL,0.004102249,107485
611,SANTA CLARITA,0.031215228,206930
612,ANN ARBOR,0.00488447,117768
613,PUEBLO,0.002385841,108591
614,MIAMI GARDENS,0.00702767,112373
615,SPRINGFIELD,0.005263265,117134
616,FLINT,-0.013685826,99166
617,DURHAM,0.029072619,249707
618,SOUTH BEND,-0.002101354,100853
619,BERKELEY,0.004311514,117753
620,ERIE,-0.004893178,100403
621,STAMFORD,0.006817005,127385
622,ALLENTOWN,0.004160505,118710
623,RENO,0.025501012,235055
624,WACO,0.007548781,129944
625,FULLERTON,0.009439643,139895
626,CONCORD,0.006518745,126744
627,EUGENE,0.012659698,159882
628,BOISE,0.022765331,216260
629,WATERBURY,0.002105591,109495
630,ALEXANDRIA,0.01164653,151065
631,AMHERST TOWN,0.005170062,118860
632,ELIZABETH,0.005884969,128345
633,MODESTO,0.02015468,205820
634,TEMPE,0.015497074,169812
635,SUNNYVALE,0.010221318,149384
636,CEDAR RAPIDS,0.00621101,128901
637,STERLING HEIGHTS,0.005622542,131604
638,LANSING,-0.003921957,109176
639,PEORIA,-0.001598435,116923
640,INDEPENDENCE,0.001722043,117321
641,BEAUMONT,0.000402996,117898
642,IRVING,0.022669669,231708
643,PASADENA,0.009550221,153540
644,BAKERSFIELD,0.036076454,367406
645,ELK GROVE,0.048532242,162957
646,CHESAPEAKE,0.022796471,232489
647,LAKEWOOD,0.00823704,148236
648,EVANSVILLE,-0.002085978,120372
649,OXNARD,0.017022276,204159
650,TOPEKA,0.00305676,127673
651,HOLLYWOOD,0.007412227,147918
652,SAN BERNARDINO,0.020147413,214588
653,PASADENA,0.005283545,140373
654,MORENO VALLEY,0.022879917,202911
655,NEW HAVEN,0.001473029,130882
656,HARTFORD,-0.002160501,124943
657,HAMPTON,0.003397086,136590
658,GARDEN GROVE,0.010196853,176106
659,ORLANDO,0.021847657,259675
660,AURORA,0.026217823,307421
661,TORRANCE,0.003676556,147971
662,FREMONT,0.016492065,227575
663,WINSTON-SALEM,0.01852512,238082
664,BRIDGEPORT,0.001217881,147822
665,SPRINGFIELD,0.006540305,165278
666,WARREN,-0.005563916,135080
667,ROCKFORD,0.00219067,149584
668,SYRACUSE,-0.004627208,144534
669,GLENDALE,0.010853883,197079
670,PATERSON,0.001804031,146083
671,GARLAND,0.016063534,236137
672,DAYTON,-0.008606218,143217
673,KANSAS CITY,-0.002984879,149103
674,HUNTSVILLE,0.008531194,185896
675,HIALEAH,0.017140196,235446
676,NEWPORT NEWS,0.006944526,182374
677,SPRINGFIELD,0.000364982,153766
678,CHATTANOOGA,0.001893373,174449
679,PROVIDENCE,0.004289035,178640
680,FORT LAUDERDALE,0.004501318,174056
681,STOCKTON,0.020797675,299519
682,MESA,0.03476275,462092
683,LITTLE ROCK,0.007722886,198217
684,SALT LAKE CITY,0.00522831,192368
685,GREENSBORO,0.018124123,282203
686,TACOMA,0.007814298,204722
687,WORCESTER,0.004355045,183248
688,ARLINGTON,0.026284443,382976
689,KNOXVILLE,0.000532438,184362
690,FORT WAYNE,0.012869539,257172
691,COLUMBUS,0.006196201,206714
692,MADISON,0.011084138,245788
693,RIVERSIDE,0.018925247,319453
694,HUNTINGTON BEACH,0.004704956,199152
695,SPOKANE,0.006394761,211025
696,JACKSON,-0.004477971,171743
697,LINCOLN,0.013571161,271208
698,ANCHORAGE,0.016628265,301306
699,LUBBOCK,0.009894667,241826
700,MONTGOMERY,0.003742584,200194
701,GRAND RAPIDS,0.001977748,193385
702,YONKERS,0.000998267,200624
703,DES MOINES,0.002682295,208033
704,SHREVEPORT,0.000863945,197506
705,RICHMOND,-0.000127563,216747
706,MOBILE,0.007270015,250655
707,AKRON,-0.005565349,197891
708,LEXINGTON,0.013223003,311848
709,ROCHESTER,-0.003973161,210347
710,SANTA ANA,0.015259215,336462
711,COLORADO SPRINGS,0.02299148,444949
712,SAVANNAH-CHATHAM METRO,0.011650648,236682
713,BIRMINGHAM,-0.008642756,210356
714,BATON ROUGE,0.001780871,229387
715,FRESNO,0.026233465,513187
716,NORFOLK,-0.001241649,247078
